File,type1,type2,type3,type4,type5,atf1,atf2,atf3,atf4,atf5,atb1,atb2,atb3,atb4,atb5,length1,length2,length3,length4,length5
ASta_040719_platoon4,6,7,8,9,10,4.577,3.215,4.003,4.226,3.77,0.619,1.491,0.954,0.731,0.694,5.196,4.706,4.957,4.957,4.464
ASta_040719_platoon5,1,4,3,5,2,4.577,4.226,4.003,3.77,3.215,0.619,0.731,0.954,0.694,1.491,5.196,4.957,4.957,4.464,4.706
ASta_040719_platoon6,1,4,3,5,2,4.577,4.226,4.003,3.77,3.215,0.619,0.731,0.954,0.694,1.491,5.196,4.957,4.957,4.464,4.706
ASta_040719_platoon7,1,2,3,4,5,4.577,3.215,4.003,4.226,3.77,0.619,1.491,0.954,0.731,0.694,5.196,4.706,4.957,4.957,4.464
ASta_040719_platoon8,1,2,3,4,5,4.577,3.215,4.003,4.226,3.77,0.619,1.491,0.954,0.731,0.694,5.196,4.706,4.957,4.957,4.464
ASta_040719_platoon9,1,2,3,4,5,4.577,3.215,4.003,4.226,3.77,0.619,1.491,0.954,0.731,0.694,5.196,4.706,4.957,4.957,4.464
ASta_050719_platoon1,1,5,3,2,4,4.577,3.77,4.003,3.215,4.226,0.619,0.694,0.954,1.491,0.731,5.196,4.464,4.957,4.706,4.957
ASta_050719_platoon2,1,5,3,2,4,4.577,3.77,4.003,3.215,4.226,0.619,0.694,0.954,1.491,0.731,5.196,4.464,4.957,4.706,4.957
ASta_040719_platoon5_ENU,1,4,3,5,2,4.577,4.226,4.003,3.77,3.215,0.619,0.731,0.954,0.694,1.491,5.196,4.957,4.957,4.464,4.706
ASta_040719_platoon6_ENU,1,4,3,5,2,4.577,4.226,4.003,3.77,3.215,0.619,0.731,0.954,0.694,1.491,5.196,4.957,4.957,4.464,4.706
ASta_040719_platoon7_ENU,1,2,3,4,5,4.577,3.215,4.003,4.226,3.77,0.619,1.491,0.954,0.731,0.694,5.196,4.706,4.957,4.957,4.464
ASta_040719_platoon8_ENU,1,2,3,4,5,4.577,3.215,4.003,4.226,3.77,0.619,1.491,0.954,0.731,0.694,5.196,4.706,4.957,4.957,4.464
ASta_040719_platoon9_ENU,1,2,3,4,5,4.577,3.215,4.003,4.226,3.77,0.619,1.491,0.954,0.731,0.694,5.196,4.706,4.957,4.957,4.464
ASta_050719_platoon1_ENU,1,5,3,2,4,4.577,3.77,4.003,3.215,4.226,0.619,0.694,0.954,1.491,0.731,5.196,4.464,4.957,4.706,4.957
ASta_050719_platoon2_ENU,1,5,3,2,4,4.577,3.77,4.003,3.215,4.226,0.619,0.694,0.954,1.491,0.731,5.196,4.464,4.957,4.706,4.957
